admin2,admin3,admin4,partner,province,municipality,barangay,date,Selected,First Installment,Second Installment
PH060400000,PH060402000,PH060402010,Spanish Red Cross,Aklan,Balete,Oquendo,9/20/18,58,0,0
PH060400000,PH060402000,PH060402010,Spanish Red Cross,Aklan,Balete,Oquendo,10/18/18,0,0,55
PH060400000,PH060402000,PH060402011,Spanish Red Cross,Aklan,Balete,Poblacion,10/18/18,7,0,0
PH060400000,PH060402000,PH060402011,Spanish Red Cross,Aklan,Balete,Poblacion,10/25/18,-7,0,0
PH060400000,PH060403000,PH060403001,IFRC,Aklan,Banga,Agbanawan,7/4/18,61,56,0
PH060400000,PH060403000,PH060403001,IFRC,Aklan,Banga,Agbanawan,8/20/18,0,0,55
PH060400000,PH060403000,PH060403003,IFRC,Aklan,Banga,Badiangan,8/20/18,82,80,0
PH060400000,PH060403000,PH060403003,IFRC,Aklan,Banga,Badiangan,10/11/18,0,0,80
PH060400000,PH060403000,PH060403005,IFRC,Aklan,Banga,Cupang,8/20/18,42,42,0
PH060400000,PH060403000,PH060403005,IFRC,Aklan,Banga,Cupang,10/11/18,0,0,42
PH060400000,PH060403000,PH060403006,IFRC,Aklan,Banga,Daguitan,8/20/18,32,28,0
PH060400000,PH060403000,PH060403006,IFRC,Aklan,Banga,Daguitan,10/11/18,0,0,27
PH060400000,PH060403000,PH060403007,IFRC,Aklan,Banga,Daja Norte,7/4/18,55,51,0
PH060400000,PH060403000,PH060403007,IFRC,Aklan,Banga,Daja Norte,8/20/18,0,0,50
PH060400000,PH060403000,PH060403007,IFRC,Aklan,Banga,Daja Norte,10/11/18,0,0,1
PH060400000,PH060403000,PH060403007,IFRC,Aklan,Banga,Daja Norte,10/18/18,1,1,1
PH060400000,PH060403000,PH060403008,IFRC,Aklan,Banga,Daja Sur,7/4/18,71,63,0
PH060400000,PH060403000,PH060403008,IFRC,Aklan,Banga,Daja Sur,8/20/18,0,0,55
PH060400000,PH060403000,PH060403008,IFRC,Aklan,Banga,Daja Sur,10/18/18,1,1,1
PH060400000,PH060403000,PH060403009,IFRC,Aklan,Banga,Dingle,7/4/18,120,105,0
PH060400000,PH060403000,PH060403009,IFRC,Aklan,Banga,Dingle,8/20/18,0,0,105
PH060400000,PH060403000,PH060403012,IFRC,Aklan,Banga,Libas,8/20/18,46,46,0
PH060400000,PH060403000,PH060403012,IFRC,Aklan,Banga,Libas,10/11/18,0,0,46
PH060400000,PH060403000,PH060403014,IFRC,Aklan,Banga,Mambog,8/20/18,132,130,0
PH060400000,PH060403000,PH060403014,IFRC,Aklan,Banga,Mambog,10/11/18,0,0,127
PH060400000,PH060403000,PH060403015,IFRC,Aklan,Banga,Mangan,8/20/18,127,125,0
PH060400000,PH060403000,PH060403015,IFRC,Aklan,Banga,Mangan,10/11/18,0,0,123
PH060400000,PH060403000,PH060403016,IFRC,Aklan,Banga,Muguing,8/20/18,51,50,0
PH060400000,PH060403000,PH060403016,IFRC,Aklan,Banga,Muguing,10/11/18,0,0,49
PH060400000,PH060403000,PH060403017,IFRC,Aklan,Banga,Pagsanghan,7/8/18,135,108,0
PH060400000,PH060403000,PH060403017,IFRC,Aklan,Banga,Pagsanghan,10/11/18,0,0,97
PH060400000,PH060403000,PH060403018,IFRC,Aklan,Banga,Palale,8/17/18,34,34,0
PH060400000,PH060403000,PH060403018,IFRC,Aklan,Banga,Palale,10/11/18,0,0,33
PH060400000,PH060403000,PH060403020,IFRC,Aklan,Banga,Polo,8/17/18,39,39,0
PH060400000,PH060403000,PH060403020,IFRC,Aklan,Banga,Polo,10/11/18,0,0,37
PH060400000,PH060403000,PH060403021,IFRC,Aklan,Banga,Polocate,8/17/18,150,150,0
PH060400000,PH060403000,PH060403021,IFRC,Aklan,Banga,Polocate,10/11/18,0,0,149
PH060400000,PH060403000,PH060403022,IFRC,Aklan,Banga,San Isidro,7/4/18,31,28,0
PH060400000,PH060403000,PH060403022,IFRC,Aklan,Banga,San Isidro,9/20/18,0,0,28
PH060400000,PH060403000,PH060403023,IFRC,Aklan,Banga,Sibalew,7/4/18,66,65,0
PH060400000,PH060403000,PH060403023,IFRC,Aklan,Banga,Sibalew,8/20/18,0,0,63
PH060400000,PH060403000,PH060403024,IFRC,Aklan,Banga,Sigcay,8/17/18,50,50,0
PH060400000,PH060403000,PH060403024,IFRC,Aklan,Banga,Sigcay,10/11/18,0,0,50
PH060400000,PH060403000,PH060403025,IFRC,Aklan,Banga,Taba-ao,8/17/18,54,51,0
PH060400000,PH060403000,PH060403025,IFRC,Aklan,Banga,Taba-ao,10/11/18,0,0,50
PH060400000,PH060403000,PH060403025,IFRC,Aklan,Banga,Taba-ao,11/15/18,0,1,-1
PH060400000,PH060403000,PH060403026,IFRC,Aklan,Banga,Tabayon,8/17/18,96,96,0
PH060400000,PH060403000,PH060403026,IFRC,Aklan,Banga,Tabayon,10/11/18,0,0,88
PH060400000,PH060403000,PH060403028,IFRC,Aklan,Banga,Torralba,8/17/18,102,98,0
PH060400000,PH060403000,PH060403028,IFRC,Aklan,Banga,Torralba,10/11/18,0,0,97
PH060400000,PH060403000,PH060403028,IFRC,Aklan,Banga,Torralba,10/18/18,-1,0,0
PH060400000,PH060403000,PH060403029,IFRC,Aklan,Banga,Ugsod,8/17/18,115,109,0
PH060400000,PH060403000,PH060403029,IFRC,Aklan,Banga,Ugsod,10/11/18,0,0,107
PH060400000,PH060403000,PH060403030,IFRC,Aklan,Banga,Venturanza,8/17/18,28,27,0
PH060400000,PH060403000,PH060403030,IFRC,Aklan,Banga,Venturanza,10/11/18,0,0,27
PH060400000,PH060409000,PH060409001,Finnish Red Cross,Aklan,Libacao,Agmailig,4/25/18,20,19,0
PH060400000,PH060409000,PH060409001,Finnish Red Cross,Aklan,Libacao,Agmailig,7/23/18,0,0,18
PH060400000,PH060409000,PH060409001,Finnish Red Cross,Aklan,Libacao,Agmailig,8/21/18,3,4,4
PH060400000,PH060409000,PH060409002,Finnish Red Cross,Aklan,Libacao,Alfonso XII,5/25/18,75,0,0
PH060400000,PH060409000,PH060409002,Finnish Red Cross,Aklan,Libacao,Alfonso XII,7/11/18,0,75,0
PH060400000,PH060409000,PH060409002,Finnish Red Cross,Aklan,Libacao,Alfonso XII,8/17/18,1,1,76
PH060400000,PH060409000,PH060409003,Finnish Red Cross,Aklan,Libacao,Batobato,7/11/18,15,15,0
PH060400000,PH060409000,PH060409003,Finnish Red Cross,Aklan,Libacao,Batobato,8/17/18,0,0,15
PH060400000,PH060409000,PH060409004,Finnish Red Cross,Aklan,Libacao,Bonza,5/31/18,17,17,0
PH060400000,PH060409000,PH060409004,Finnish Red Cross,Aklan,Libacao,Bonza,8/8/18,0,0,15
PH060400000,PH060409000,PH060409005,Finnish Red Cross,Aklan,Libacao,Calacabian,5/31/18,31,31,0
PH060400000,PH060409000,PH060409005,Finnish Red Cross,Aklan,Libacao,Calacabian,8/8/18,0,0,27
PH060400000,PH060409000,PH060409005,Finnish Red Cross,Aklan,Libacao,Calacabian,8/17/18,0,0,4
PH060400000,PH060409000,PH060409006,Finnish Red Cross,Aklan,Libacao,Calamcan,7/11/18,5,5,0
PH060400000,PH060409000,PH060409006,Finnish Red Cross,Aklan,Libacao,Calamcan,8/17/18,0,0,5
PH060400000,PH060409000,PH060409007,Finnish Red Cross,Aklan,Libacao,Can-Awan,7/11/18,25,25,0
PH060400000,PH060409000,PH060409007,Finnish Red Cross,Aklan,Libacao,Can-Awan,8/17/18,0,0,25
PH060400000,PH060409000,PH060409008,Finnish Red Cross,Aklan,Libacao,Casit-an,5/25/18,19,18,0
PH060400000,PH060409000,PH060409008,Finnish Red Cross,Aklan,Libacao,Casit-an,7/23/18,0,0,17
PH060400000,PH060409000,PH060409008,Finnish Red Cross,Aklan,Libacao,Casit-an,8/17/18,0,1,0
PH060400000,PH060409000,PH060409008,Finnish Red Cross,Aklan,Libacao,Casit-an,8/21/18,0,0,1
PH060400000,PH060409000,PH060409010,Finnish Red Cross,Aklan,Libacao,Guadalupe,4/25/18,30,30,0
PH060400000,PH060409000,PH060409010,Finnish Red Cross,Aklan,Libacao,Guadalupe,7/23/18,3,0,30
PH060400000,PH060409000,PH060409010,Finnish Red Cross,Aklan,Libacao,Guadalupe,8/21/18,0,3,0
PH060400000,PH060409000,PH060409010,Finnish Red Cross,Aklan,Libacao,Guadalupe,9/20/18,0,0,3
PH060400000,PH060409000,PH060409011,Finnish Red Cross,Aklan,Libacao,Janlud,5/31/18,76,76,0
PH060400000,PH060409000,PH060409011,Finnish Red Cross,Aklan,Libacao,Janlud,8/8/18,0,0,75
PH060400000,PH060409000,PH060409011,Finnish Red Cross,Aklan,Libacao,Janlud,8/21/18,0,0,1
PH060400000,PH060409000,PH060409012,Finnish Red Cross,Aklan,Libacao,Julita,4/27/18,64,59,0
PH060400000,PH060409000,PH060409012,Finnish Red Cross,Aklan,Libacao,Julita,7/23/18,0,0,58
PH060400000,PH060409000,PH060409012,Finnish Red Cross,Aklan,Libacao,Julita,8/21/18,0,5,5
PH060400000,PH060409000,PH060409013,Finnish Red Cross,Aklan,Libacao,Luctoga,7/11/18,80,79,0
PH060400000,PH060409000,PH060409013,Finnish Red Cross,Aklan,Libacao,Luctoga,8/17/18,0,0,77
PH060400000,PH060409000,PH060409014,Finnish Red Cross,Aklan,Libacao,Magugba,7/11/18,6,6,0
PH060400000,PH060409000,PH060409014,Finnish Red Cross,Aklan,Libacao,Magugba,8/17/18,0,0,6
PH060400000,PH060409000,PH060409016,Finnish Red Cross,Aklan,Libacao,Ogsip,5/31/18,29,29,0
PH060400000,PH060409000,PH060409016,Finnish Red Cross,Aklan,Libacao,Ogsip,8/8/18,0,0,29
PH060400000,PH060409000,PH060409017,Finnish Red Cross,Aklan,Libacao,Ortega,4/27/18,28,28,0
PH060400000,PH060409000,PH060409017,Finnish Red Cross,Aklan,Libacao,Ortega,7/23/18,0,0,27
PH060400000,PH060409000,PH060409017,Finnish Red Cross,Aklan,Libacao,Ortega,8/21/18,0,0,1
PH060400000,PH060409000,PH060409019,Finnish Red Cross,Aklan,Libacao,Pampango,4/30/18,22,22,0
PH060400000,PH060409000,PH060409019,Finnish Red Cross,Aklan,Libacao,Pampango,7/23/18,0,0,22
PH060400000,PH060409000,PH060409019,Finnish Red Cross,Aklan,Libacao,Pampango,8/21/18,5,5,0
PH060400000,PH060409000,PH060409019,Finnish Red Cross,Aklan,Libacao,Pampango,9/20/18,0,0,5
PH060400000,PH060409000,PH060409020,Finnish Red Cross,Aklan,Libacao,Pinonoy,5/31/18,24,23,0
PH060400000,PH060409000,PH060409020,Finnish Red Cross,Aklan,Libacao,Pinonoy,8/8/18,0,0,23
PH060400000,PH060409000,PH060409020,Finnish Red Cross,Aklan,Libacao,Pinonoy,8/17/18,0,1,1
PH060400000,PH060409000,PH060409022,Finnish Red Cross,Aklan,Libacao,Rivera,4/27/18,16,16,0
PH060400000,PH060409000,PH060409022,Finnish Red Cross,Aklan,Libacao,Rivera,7/23/18,0,0,16
PH060400000,PH060409000,PH060409023,Finnish Red Cross,Aklan,Libacao,Rosal,4/30/18,57,57,0
PH060400000,PH060409000,PH060409023,Finnish Red Cross,Aklan,Libacao,Rosal,7/23/18,0,0,57
PH060400000,PH060409000,PH060409023,Finnish Red Cross,Aklan,Libacao,Rosal,8/21/18,2,2,0
PH060400000,PH060409000,PH060409023,Finnish Red Cross,Aklan,Libacao,Rosal,9/20/18,0,0,2
PH060400000,PH060409000,PH060409024,Finnish Red Cross,Aklan,Libacao,Sibalew,7/11/18,17,17,0
PH060400000,PH060409000,PH060409024,Finnish Red Cross,Aklan,Libacao,Sibalew,8/17/18,0,0,17
PH060400000,PH060410000,PH060410001,Spanish Red Cross,Aklan,Madalag,Alaminos,9/20/18,47,0,0
PH060400000,PH060410000,PH060410001,Spanish Red Cross,Aklan,Madalag,Alaminos,10/25/18,1,0,0
PH060400000,PH060410000,PH060410002,Spanish Red Cross,Aklan,Madalag,Alas-as,5/16/18,51,0,0
PH060400000,PH060410000,PH060410002,Spanish Red Cross,Aklan,Madalag,Alas-as,10/18/18,0,0,22
PH060400000,PH060410000,PH060410002,Spanish Red Cross,Aklan,Madalag,Alas-as,10/25/18,0,0,19
PH060400000,PH060410000,PH060410002,Spanish Red Cross,Aklan,Madalag,Alas-as,11/1/18,0,0,10
PH060400000,PH060410000,PH060410003,Spanish Red Cross,Aklan,Madalag,Bacyang,5/30/18,66,0,0
PH060400000,PH060410000,PH060410003,Spanish Red Cross,Aklan,Madalag,Bacyang,10/18/18,0,0,65
PH060400000,PH060410000,PH060410003,Spanish Red Cross,Aklan,Madalag,Bacyang,10/25/18,1,0,-2
PH060400000,PH060410000,PH060410003,Spanish Red Cross,Aklan,Madalag,Bacyang,11/1/18,0,0,4
PH060400000,PH060410000,PH060410004,Spanish Red Cross,Aklan,Madalag,Balactasan,5/17/18,27,0,0
PH060400000,PH060410000,PH060410005,Spanish Red Cross,Aklan,Madalag,Cabangahan,5/17/18,43,0,0
PH060400000,PH060410000,PH060410006,Spanish Red Cross,Aklan,Madalag,Cabilawan,5/24/18,24,0,0
PH060400000,PH060410000,PH060410007,Spanish Red Cross,Aklan,Madalag,Catabana,5/23/18,44,0,0
PH060400000,PH060410000,PH060410007,Spanish Red Cross,Aklan,Madalag,Catabana,10/18/18,0,0,44
PH060400000,PH060410000,PH060410007,Spanish Red Cross,Aklan,Madalag,Catabana,10/25/18,0,0,-1
PH060400000,PH060410000,PH060410007,Spanish Red Cross,Aklan,Madalag,Catabana,11/1/18,0,0,1
PH060400000,PH060410000,PH060410008,Spanish Red Cross,Aklan,Madalag,Dit-Ana,5/13/18,53,0,0
PH060400000,PH060410000,PH060410009,Spanish Red Cross,Aklan,Madalag,Galicia,7/31/18,23,0,0
PH060400000,PH060410000,PH060410010,Spanish Red Cross,Aklan,Madalag,Guinatu-an,5/22/18,37,0,0
PH060400000,PH060410000,PH060410011,Spanish Red Cross,Aklan,Madalag,Logohon,5/27/18,46,0,0
PH060400000,PH060410000,PH060410011,Spanish Red Cross,Aklan,Madalag,Logohon,10/18/18,0,0,39
PH060400000,PH060410000,PH060410011,Spanish Red Cross,Aklan,Madalag,Logohon,10/25/18,0,0,-2
PH060400000,PH060410000,PH060410011,Spanish Red Cross,Aklan,Madalag,Logohon,11/1/18,0,0,9
PH060400000,PH060410000,PH060410012,Spanish Red Cross,Aklan,Madalag,Mamba,5/13/18,62,0,0
PH060400000,PH060410000,PH060410013,Spanish Red Cross,Aklan,Madalag,Maria Cristina,7/24/18,114,0,0
PH060400000,PH060410000,PH060410014,Spanish Red Cross,Aklan,Madalag,Medina,5/14/18,78,0,0
PH060400000,PH060410000,PH060410015,Spanish Red Cross,Aklan,Madalag,Mercedes,5/30/18,46,0,0
PH060400000,PH060410000,PH060410016,Spanish Red Cross,Aklan,Madalag,Napnot,5/28/18,42,0,0
PH060400000,PH060410000,PH060410016,Spanish Red Cross,Aklan,Madalag,Napnot,10/18/18,0,0,20
PH060400000,PH060410000,PH060410016,Spanish Red Cross,Aklan,Madalag,Napnot,10/25/18,0,0,17
PH060400000,PH060410000,PH060410016,Spanish Red Cross,Aklan,Madalag,Napnot,11/1/18,0,0,5
PH060400000,PH060410000,PH060410017,Spanish Red Cross,Aklan,Madalag,Pang-Itan,5/29/18,62,0,0
PH060400000,PH060410000,PH060410017,Spanish Red Cross,Aklan,Madalag,Pang-Itan,10/18/18,0,0,23
PH060400000,PH060410000,PH060410017,Spanish Red Cross,Aklan,Madalag,Pang-Itan,10/25/18,0,0,21
PH060400000,PH060410000,PH060410017,Spanish Red Cross,Aklan,Madalag,Pang-Itan,11/1/18,0,0,18
PH060400000,PH060410000,PH060410018,Spanish Red Cross,Aklan,Madalag,Paningayan,7/31/18,76,0,0
PH060400000,PH060410000,PH060410019,Spanish Red Cross,Aklan,Madalag,Panipiason,7/17/18,47,0,0
PH060400000,PH060410000,PH060410020,Spanish Red Cross,Aklan,Madalag,Poblacion,9/20/18,41,0,0
PH060400000,PH060410000,PH060410020,Spanish Red Cross,Aklan,Madalag,Poblacion,10/25/18,-1,0,0
PH060400000,PH060410000,PH060410021,Spanish Red Cross,Aklan,Madalag,San Jose,7/31/18,91,0,0
PH060400000,PH060410000,PH060410022,Spanish Red Cross,Aklan,Madalag,Singay,5/22/18,26,0,0
PH060400000,PH060410000,PH060410023,Spanish Red Cross,Aklan,Madalag,Talangban,5/28/18,47,0,0
PH060400000,PH060410000,PH060410024,Spanish Red Cross,Aklan,Madalag,Talimagao,5/24/18,38,0,0
PH060400000,PH060410000,PH060410024,Spanish Red Cross,Aklan,Madalag,Talimagao,10/18/18,0,0,36
PH060400000,PH060410000,PH060410024,Spanish Red Cross,Aklan,Madalag,Talimagao,10/25/18,0,0,-2
PH060400000,PH060410000,PH060410024,Spanish Red Cross,Aklan,Madalag,Talimagao,11/1/18,0,0,4
PH060400000,PH060410000,PH060410025,Spanish Red Cross,Aklan,Madalag,Tigbawan,5/16/18,41,0,0
PH060400000,PH060410000,PH060410025,Spanish Red Cross,Aklan,Madalag,Tigbawan,10/25/18,-1,0,0
PH060400000,PH060415000,PH060415001,IFRC,Aklan,New Washington,Candelaria,5/6/18,36,0,0
PH060400000,PH060415000,PH060415001,IFRC,Aklan,New Washington,Candelaria,7/4/18,0,36,0
PH060400000,PH060415000,PH060415001,IFRC,Aklan,New Washington,Candelaria,9/20/18,0,0,33
PH060400000,PH060415000,PH060415003,IFRC,Aklan,New Washington,Dumaguit,5/15/18,36,0,0
PH060400000,PH060415000,PH060415003,IFRC,Aklan,New Washington,Dumaguit,7/4/18,0,32,0
PH060400000,PH060415000,PH060415003,IFRC,Aklan,New Washington,Dumaguit,8/20/18,0,0,32
PH060400000,PH060415000,PH060415003,IFRC,Aklan,New Washington,Dumaguit,10/11/18,0,2,0
PH060400000,PH060415000,PH060415005,IFRC,Aklan,New Washington,Guinbaliwan,5/6/18,150,0,0
PH060400000,PH060415000,PH060415005,IFRC,Aklan,New Washington,Guinbaliwan,7/4/18,0,142,0
PH060400000,PH060415000,PH060415005,IFRC,Aklan,New Washington,Guinbaliwan,8/20/18,0,0,142
PH060400000,PH060415000,PH060415005,IFRC,Aklan,New Washington,Guinbaliwan,11/15/18,0,1,0
PH060400000,PH060415000,PH060415006,IFRC,Aklan,New Washington,Jalas,6/10/18,148,0,0
PH060400000,PH060415000,PH060415006,IFRC,Aklan,New Washington,Jalas,7/4/18,0,131,0
PH060400000,PH060415000,PH060415006,IFRC,Aklan,New Washington,Jalas,8/20/18,0,0,130
PH060400000,PH060415000,PH060415015,IFRC,Aklan,New Washington,Puis,6/10/18,114,0,0
PH060400000,PH060415000,PH060415015,IFRC,Aklan,New Washington,Puis,7/4/18,0,111,0
PH060400000,PH060415000,PH060415015,IFRC,Aklan,New Washington,Puis,8/20/18,0,0,110
PH060400000,PH060415000,PH060415015,IFRC,Aklan,New Washington,Puis,10/18/18,1,1,1
PH060400000,PH060415000,PH060415015,IFRC,Aklan,New Washington,Puis,10/25/18,0,-1,-1
PH060400000,PH060415000,PH060415015,IFRC,Aklan,New Washington,Puis,11/15/18,0,1,1
PH060600000,PH060602000,PH060602002,IFRC,Antique,Barbaza,Baghari,7/1/18,40,0,0
PH060600000,PH060602000,PH060602002,IFRC,Antique,Barbaza,Baghari,8/27/18,0,40,0
PH060600000,PH060602000,PH060602002,IFRC,Antique,Barbaza,Baghari,10/11/18,0,0,40
PH060600000,PH060602000,PH060602003,IFRC,Antique,Barbaza,Bahuyan,6/15/18,45,0,0
PH060600000,PH060602000,PH060602003,IFRC,Antique,Barbaza,Bahuyan,6/27/18,0,45,0
PH060600000,PH060602000,PH060602003,IFRC,Antique,Barbaza,Bahuyan,7/2/18,18,0,0
PH060600000,PH060602000,PH060602003,IFRC,Antique,Barbaza,Bahuyan,8/14/18,0,0,43
PH060600000,PH060602000,PH060602003,IFRC,Antique,Barbaza,Bahuyan,8/27/18,0,18,0
PH060600000,PH060602000,PH060602003,IFRC,Antique,Barbaza,Bahuyan,10/11/18,0,0,18
PH060600000,PH060602000,PH060602004,IFRC,Antique,Barbaza,Beri,5/28/18,70,0,0
PH060600000,PH060602000,PH060602004,IFRC,Antique,Barbaza,Beri,6/27/18,0,70,0
PH060600000,PH060602000,PH060602004,IFRC,Antique,Barbaza,Beri,7/4/18,49,0,0
PH060600000,PH060602000,PH060602004,IFRC,Antique,Barbaza,Beri,8/14/18,0,0,70
PH060600000,PH060602000,PH060602004,IFRC,Antique,Barbaza,Beri,8/27/18,0,49,0
PH060600000,PH060602000,PH060602004,IFRC,Antique,Barbaza,Beri,10/11/18,0,0,49
PH060600000,PH060602000,PH060602007,IFRC,Antique,Barbaza,Binangbang Centro,5/30/18,69,0,0
PH060600000,PH060602000,PH060602007,IFRC,Antique,Barbaza,Binangbang Centro,6/27/18,0,69,0
PH060600000,PH060602000,PH060602007,IFRC,Antique,Barbaza,Binangbang Centro,7/2/18,8,0,0
PH060600000,PH060602000,PH060602007,IFRC,Antique,Barbaza,Binangbang Centro,8/14/18,0,0,66
PH060600000,PH060602000,PH060602007,IFRC,Antique,Barbaza,Binangbang Centro,8/27/18,0,8,0
PH060600000,PH060602000,PH060602007,IFRC,Antique,Barbaza,Binangbang Centro,10/11/18,0,0,8
PH060600000,PH060602000,PH060602008,IFRC,Antique,Barbaza,Binanu-an,7/5/18,36,0,0
PH060600000,PH060602000,PH060602008,IFRC,Antique,Barbaza,Binanu-an,8/27/18,0,36,0
PH060600000,PH060602000,PH060602008,IFRC,Antique,Barbaza,Binanu-an,10/11/18,0,0,36
PH060600000,PH060602000,PH060602009,IFRC,Antique,Barbaza,Cadiao,8/5/18,47,0,0
PH060600000,PH060602000,PH060602009,IFRC,Antique,Barbaza,Cadiao,10/11/18,0,45,0
PH060600000,PH060602000,PH060602009,IFRC,Antique,Barbaza,Cadiao,10/25/18,0,2,45
PH060600000,PH060602000,PH060602009,IFRC,Antique,Barbaza,Cadiao,11/15/18,0,0,2
PH060600000,PH060602000,PH060602012,IFRC,Antique,Barbaza,Cubay,6/19/18,48,0,0
PH060600000,PH060602000,PH060602012,IFRC,Antique,Barbaza,Cubay,6/27/18,0,48,0
PH060600000,PH060602000,PH060602012,IFRC,Antique,Barbaza,Cubay,7/3/18,17,0,0
PH060600000,PH060602000,PH060602012,IFRC,Antique,Barbaza,Cubay,8/14/18,0,0,48
PH060600000,PH060602000,PH060602012,IFRC,Antique,Barbaza,Cubay,8/27/18,0,18,0
PH060600000,PH060602000,PH060602012,IFRC,Antique,Barbaza,Cubay,10/4/18,0,0,0
PH060600000,PH060602000,PH060602012,IFRC,Antique,Barbaza,Cubay,10/11/18,0,0,18
PH060600000,PH060602000,PH060602018,IFRC,Antique,Barbaza,Embrangga-an,7/5/18,23,0,0
PH060600000,PH060602000,PH060602018,IFRC,Antique,Barbaza,Embrangga-an,8/27/18,0,23,0
PH060600000,PH060602000,PH060602018,IFRC,Antique,Barbaza,Embrangga-an,10/11/18,0,0,23
PH060600000,PH060602000,PH060602014,IFRC,Antique,Barbaza,Gua,6/13/18,66,0,0
PH060600000,PH060602000,PH060602014,IFRC,Antique,Barbaza,Gua,6/27/18,0,66,0
PH060600000,PH060602000,PH060602014,IFRC,Antique,Barbaza,Gua,7/2/18,16,0,0
PH060600000,PH060602000,PH060602014,IFRC,Antique,Barbaza,Gua,8/14/18,0,0,66
PH060600000,PH060602000,PH060602014,IFRC,Antique,Barbaza,Gua,8/27/18,0,16,0
PH060600000,PH060602000,PH060602014,IFRC,Antique,Barbaza,Gua,10/11/18,0,0,16
